1, 错选为B', <built-in method now of type object at 0x1010f86c8>
1, 错选为C', 2023-04-26 17:46:07.786855
1, 错选为A', 2023-04-26 17:49:30.191976
1, 错选为A', 2023-04-26 17:49:32.562756
1, 错选为A', 2023-04-26 17:50:16.305954
1, 错选为A', 2023-04-26 19:04:15.308444
1, 错选为B', 2023-04-26 19:04:21.887404
1, 错选为A', 2023-04-26 19:10:11.246456
1, 错选为B', 2023-04-26 19:10:12.419417
1, 错选为C', 2023-04-26 19:10:13.696104
1, 错选为C', 2023-04-26 20:04:20.804581
1, 错选为C', 2023-04-26 20:04:32.611550
1, 错选为C', 2023-04-26 21:38:41.298350
3, 错选为C', 2023-04-26 21:39:39.637306
5, 错选为B', 2023-04-27 23:14:43.416490
